run_at,iteration,index_name,timeframe,strategy,params,horizon,signals,mean,median,std,win_rate,avg_win,avg_loss,expectancy,direction
2026-04-27T06:20:01.562618,,NIFTY,mixed,nr7_breakout_with_weekly_silent_top_avoidance,"{""signal"": ""NR7 + range expansion breakout long, avoiding weekly silent-top-exhaustion regimes, with weekly > 10w SMA filter"", ""entry_timeframe"": ""daily"", ""exit_timeframe"": ""daily"", ""entry_condition"": ""NR7 day N-1; day N range>2x prior, close top 30%; prior week NOT silent top exhaustion; weekly close > 10w SMA"", ""exit_condition"": ""forward 1,2,5,10 days"", ""derived_from"": [""nr7_then_range_expansion_breakout"", ""nr7_expansion_breakout_with_weekly_uptrend_filter"", ""weekly_silent_top_exhaustion""], ""refinement_type"": ""filtered"", ""forward_days"": [1, 2, 5, 10]}",fwd_10d,44,0.744,1.083,3.542,70.5,2.309,-2.988,0.744,long
2026-04-27T06:19:14.767945,2.0,NIFTY,weekly,weekly_silent_top_exhaustion,"{""signal"": ""Silent top exhaustion: current week prints a new 52-week high, but the weekly range is in the bottom 30th percentile of the last 26 weeks AND the weekly body (|close-open|) is less than 30% of the weekly range. Indicates a new high made on narrow-range, small-body (indecisive) action \u2014 potential exhaustion top."", ""field"": ""open, high, low, close"", ""high_lookback_weeks"": 52, ""range_percentile_lookback_weeks"": 26, ""range_percentile_threshold"": 0.3, ""body_to_range_max_ratio"": 0.3, ""forward_weeks"": [1, 2, 4, 8]}",fwd_8d,30,0.735,1.321,4.921,66.7,3.451,-4.697,0.735,long
2026-04-27T06:20:28.297354,,NIFTY,mixed,nr7_breakout_with_weekly_silent_top_avoidance_and_compression_quality,"{""signal"": ""NR7 + range expansion breakout long with compression-quality filter, weekly uptrend, and silent-top avoidance"", ""entry_timeframe"": ""daily"", ""exit_timeframe"": ""daily"", ""entry_condition"": ""NR7 + tight compression (range in bottom 25% of 20d) + 2x expansion + close top 20% + weekly>10w SMA + no silent top"", ""exit_condition"": ""forward 1,2,5,10 days"", ""derived_from"": [""nr7_breakout_with_weekly_silent_top_avoidance"", ""nr7_then_range_expansion_breakout"", ""weekly_silent_top_exhaustion""], ""refinement_type"": ""tightening"", ""nr7_lookback"": 7, ""compression_percentile_lookback"": 20, ""compression_percentile_threshold"": 0.25, ""expansion_multiplier"": 2.0, ""close_position_threshold"": 0.8, ""weekly_ma_lookback"": 10, ""forward_days"": [1, 2, 5, 10]}",fwd_5d,37,0.732,0.926,1.638,64.9,1.719,-1.089,0.732,long
2026-04-27T06:20:01.562618,,NIFTY,mixed,nr7_breakout_with_weekly_silent_top_avoidance,"{""signal"": ""NR7 + range expansion breakout long, avoiding weekly silent-top-exhaustion regimes, with weekly > 10w SMA filter"", ""entry_timeframe"": ""daily"", ""exit_timeframe"": ""daily"", ""entry_condition"": ""NR7 day N-1; day N range>2x prior, close top 30%; prior week NOT silent top exhaustion; weekly close > 10w SMA"", ""exit_condition"": ""forward 1,2,5,10 days"", ""derived_from"": [""nr7_then_range_expansion_breakout"", ""nr7_expansion_breakout_with_weekly_uptrend_filter"", ""weekly_silent_top_exhaustion""], ""refinement_type"": ""filtered"", ""forward_days"": [1, 2, 5, 10]}",fwd_5d,44,0.722,1.005,1.744,70.5,1.616,-1.41,0.722,long
2026-04-27T06:19:37.875031,,NIFTY,mixed,nr7_expansion_breakout_with_weekly_uptrend_filter,"{""signal"": ""NR7 + next-day range expansion breakout (long), filtered by weekly uptrend regime (weekly close > 20w SMA and > 4 weeks ago)."", ""entry_timeframe"": ""daily"", ""exit_timeframe"": ""daily"", ""entry_condition"": ""Day N-1 NR7; Day N range > 2x prior range; close in top 30%; weekly close > 20w SMA and > weekly close 4w ago"", ""exit_condition"": ""forward horizons 1,2,5,10 days"", ""derived_from"": [""nr7_then_range_expansion_breakout"", ""weekly_silent_top_exhaustion""], ""refinement_type"": ""filtered"", ""nr7_lookback"": 7, ""expansion_multiplier"": 2.0, ""close_position_threshold"": 0.7, ""weekly_ma_lookback"": 20, ""weekly_momentum_lookback"": 4, ""forward_days"": [1, 2, 5, 10]}",fwd_5d,41,0.529,1.084,1.944,63.4,1.737,-1.565,0.529,long
2026-04-27T06:20:28.297354,,NIFTY,mixed,nr7_breakout_with_weekly_silent_top_avoidance_and_compression_quality,"{""signal"": ""NR7 + range expansion breakout long with compression-quality filter, weekly uptrend, and silent-top avoidance"", ""entry_timeframe"": ""daily"", ""exit_timeframe"": ""daily"", ""entry_condition"": ""NR7 + tight compression (range in bottom 25% of 20d) + 2x expansion + close top 20% + weekly>10w SMA + no silent top"", ""exit_condition"": ""forward 1,2,5,10 days"", ""derived_from"": [""nr7_breakout_with_weekly_silent_top_avoidance"", ""nr7_then_range_expansion_breakout"", ""weekly_silent_top_exhaustion""], ""refinement_type"": ""tightening"", ""nr7_lookback"": 7, ""compression_percentile_lookback"": 20, ""compression_percentile_threshold"": 0.25, ""expansion_multiplier"": 2.0, ""close_position_threshold"": 0.8, ""weekly_ma_lookback"": 10, ""forward_days"": [1, 2, 5, 10]}",fwd_10d,37,0.51,0.891,2.923,70.3,1.943,-2.878,0.51,long
2026-04-27T06:19:01.196664,1.0,NIFTY,daily,nr7_then_range_expansion_breakout,"{""signal"": ""Day N is an NR7 bar (its high-low range is the narrowest of the last 7 days, inclusive). Day N+1 confirms with a range > 2.0x day N's range AND closes in the top 30% of day N+1's range (bullish expansion). Signal fires on day N+1 (close of expansion day), trading the breakout direction long."", ""field"": ""high, low, close"", ""nr7_lookback"": 7, ""expansion_multiplier"": 2.0, ""close_position_threshold"": 0.7, ""direction"": ""long on bullish expansion (close in top 30% of day's range)"", ""forward_days"": [1, 2, 5, 10]}",fwd_10d,74,0.446,0.869,3.503,64.9,2.376,-3.118,0.446,long
2026-04-27T06:19:01.196664,1.0,NIFTY,daily,nr7_then_range_expansion_breakout,"{""signal"": ""Day N is an NR7 bar (its high-low range is the narrowest of the last 7 days, inclusive). Day N+1 confirms with a range > 2.0x day N's range AND closes in the top 30% of day N+1's range (bullish expansion). Signal fires on day N+1 (close of expansion day), trading the breakout direction long."", ""field"": ""high, low, close"", ""nr7_lookback"": 7, ""expansion_multiplier"": 2.0, ""close_position_threshold"": 0.7, ""direction"": ""long on bullish expansion (close in top 30% of day's range)"", ""forward_days"": [1, 2, 5, 10]}",fwd_5d,74,0.415,0.79,2.029,60.8,1.751,-1.658,0.415,long
2026-04-27T06:20:28.297354,,NIFTY,mixed,nr7_breakout_with_weekly_silent_top_avoidance_and_compression_quality,"{""signal"": ""NR7 + range expansion breakout long with compression-quality filter, weekly uptrend, and silent-top avoidance"", ""entry_timeframe"": ""daily"", ""exit_timeframe"": ""daily"", ""entry_condition"": ""NR7 + tight compression (range in bottom 25% of 20d) + 2x expansion + close top 20% + weekly>10w SMA + no silent top"", ""exit_condition"": ""forward 1,2,5,10 days"", ""derived_from"": [""nr7_breakout_with_weekly_silent_top_avoidance"", ""nr7_then_range_expansion_breakout"", ""weekly_silent_top_exhaustion""], ""refinement_type"": ""tightening"", ""nr7_lookback"": 7, ""compression_percentile_lookback"": 20, ""compression_percentile_threshold"": 0.25, ""expansion_multiplier"": 2.0, ""close_position_threshold"": 0.8, ""weekly_ma_lookback"": 10, ""forward_days"": [1, 2, 5, 10]}",fwd_2d,37,0.414,0.375,1.175,64.9,1.026,-0.716,0.414,long
2026-04-27T06:19:14.767945,2.0,NIFTY,weekly,weekly_silent_top_exhaustion,"{""signal"": ""Silent top exhaustion: current week prints a new 52-week high, but the weekly range is in the bottom 30th percentile of the last 26 weeks AND the weekly body (|close-open|) is less than 30% of the weekly range. Indicates a new high made on narrow-range, small-body (indecisive) action \u2014 potential exhaustion top."", ""field"": ""open, high, low, close"", ""high_lookback_weeks"": 52, ""range_percentile_lookback_weeks"": 26, ""range_percentile_threshold"": 0.3, ""body_to_range_max_ratio"": 0.3, ""forward_weeks"": [1, 2, 4, 8]}",fwd_4d,30,0.41,0.136,3.311,60.0,2.056,-2.058,0.41,long
